epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.45373,2.64276,4.02634,1.73667,0.00833,0.48387,0.01588,0.00285,2.67944,4.31205,1.88235,0.0001,0.0001,0.0001
2,13.4445,2.24046,3.12228,1.46706,0.38316,0.3871,0.29997,0.11049,2.05843,2.73407,1.53257,0.000217822,0.000217822,0.000217822
3,21.4805,2.02691,1.62158,1.39501,0.45161,0.45161,0.46998,0.19266,1.97617,nan,1.51995,0.000333268,0.000333268,0.000333268
4,29.298,1.92597,1.14628,1.29665,0.12195,0.32258,0.12277,0.05245,1.99977,17.8084,1.56261,0.000446338,0.000446338,0.000446338
5,36.4516,1.90892,1.00896,1.34257,0.47721,0.3534,0.28645,0.08669,2.94129,5.47212,2.36588,0.000557032,0.000557032,0.000557032
6,43.4493,1.94105,0.94308,1.33386,0.71522,0.67742,0.69184,0.29576,1.9964,3.03374,1.49295,0.00066535,0.00066535,0.00066535
7,50.8772,1.8829,0.91977,1.29027,0.00875,0.19355,0.02349,0.00469,4.5219,5.28736,6.84425,0.000771292,0.000771292,0.000771292
8,57.7691,1.91116,0.88948,1.32341,0,0,0,0,nan,nan,nan,0.000874858,0.000874858,0.000874858
9,64.7268,1.99713,0.88548,1.33945,0,0,0,0,nan,nan,nan,0.000976048,0.000976048,0.000976048
10,71.6833,1.87907,0.83886,1.30556,0,0,0,0,nan,nan,nan,0.00107486,0.00107486,0.00107486
11,78.7061,1.87429,0.86236,1.29218,0,0,0,0,nan,nan,nan,0.0011713,0.0011713,0.0011713
12,85.7239,1.85516,0.83083,1.27646,0,0,0,0,nan,nan,nan,0.00126536,0.00126536,0.00126536
13,92.767,1.87029,0.8599,1.27639,0.07696,0.41935,0.06069,0.02259,2.11957,4.91086,1.56725,0.00135705,0.00135705,0.00135705
14,99.7725,1.84184,0.83229,1.29101,0.37309,0.25806,0.20658,0.0672,2.64882,5.43414,1.8811,0.00144636,0.00144636,0.00144636
15,106.81,1.83386,0.76676,1.31404,0.39105,0.74194,0.38185,0.116,2.51337,2.25713,1.82418,0.00153329,0.00153329,0.00153329
16,113.829,1.88196,0.8372,1.30952,0.57682,0.80645,0.6312,0.24476,2.2306,1.49387,1.69947,0.00161785,0.00161785,0.00161785
17,120.724,1.9016,0.83805,1.26231,0.04082,0.25806,0.02261,0.00953,2.93391,14.1816,2.50226,0.0016832,0.0016832,0.0016832
18,127.674,1.82532,0.79324,1.25659,0.34502,0.3569,0.20778,0.09441,2.22498,2.1344,1.68895,0.0016634,0.0016634,0.0016634
19,134.581,1.80348,0.76557,1.26025,0.70851,0.77419,0.69488,0.27553,2.10976,1.44107,1.66044,0.0016436,0.0016436,0.0016436
20,141.485,1.76391,0.76162,1.23234,0.73223,0.74194,0.64469,0.24723,2.13637,1.42817,1.69079,0.0016238,0.0016238,0.0016238
21,148.313,1.81011,0.7662,1.23899,0.69744,0.66943,0.60627,0.22687,2.29618,1.64412,1.82626,0.001604,0.001604,0.001604
22,155.23,1.7913,0.76773,1.27069,0.69347,0.74194,0.65099,0.26905,1.99965,1.33343,1.58128,0.0015842,0.0015842,0.0015842
23,162.114,1.78033,0.77656,1.24634,0.75793,0.80645,0.70314,0.24146,2.18539,1.48736,1.73857,0.0015644,0.0015644,0.0015644
24,169.044,1.72763,0.7365,1.22135,0.78739,0.87097,0.71897,0.29592,1.99187,1.38374,1.57184,0.0015446,0.0015446,0.0015446
25,176.261,1.7228,0.72555,1.21181,0.73772,0.83871,0.6558,0.31472,1.88618,1.55986,1.51146,0.0015248,0.0015248,0.0015248
26,183.676,1.7897,0.73366,1.25626,0.71718,0.87097,0.74343,0.29776,2.01125,1.20565,1.55238,0.001505,0.001505,0.001505
27,190.634,1.78656,0.74178,1.24331,0.76977,0.90323,0.75884,0.3161,1.95307,1.2194,1.49869,0.0014852,0.0014852,0.0014852
28,197.995,1.76813,0.72659,1.21258,0.74751,0.83871,0.68748,0.2833,2.0146,1.35918,1.48883,0.0014654,0.0014654,0.0014654
29,204.887,1.7979,0.73205,1.23759,0.75493,0.83871,0.69412,0.27814,2.02332,1.22464,1.52447,0.0014456,0.0014456,0.0014456
30,211.886,1.79204,0.72225,1.23671,0.75451,0.89251,0.71493,0.31931,1.85121,1.10884,1.4902,0.0014258,0.0014258,0.0014258
31,219.188,1.71603,0.73116,1.20939,0.74875,0.8653,0.67552,0.31663,1.88648,1.12371,1.46741,0.001406,0.001406,0.001406
32,226.191,1.72505,0.71577,1.24514,0.70257,0.87097,0.71916,0.31728,1.92755,1.03604,1.49183,0.0013862,0.0013862,0.0013862
33,233.088,1.78495,0.72225,1.23192,0.73103,0.90323,0.76067,0.33792,1.87033,0.99159,1.45188,0.0013664,0.0013664,0.0013664
